,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук Megabook T1 (i5) 16/512Гб (Linux),43 230 ₽,"15.6""",512 Гб,16 ГБ,4,"документация, адаптер питания",70 Вт*Ч,1.48 кг,Linux
"Ноутбук ASUS VivoBook 15 15.6""FHD OLED I5/8Gb/512SSD/W11",75 800 ₽,15.6,512,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Home
"Ноутбук 15.6"" Notebook Pink Intel Celeron N5095 2.0GHz",32 679 ₽,15.6,512 Гб,16,,коробка; ноутбук; накладка на клавиатуру,,,
Ноутбук Lenovo Ideapad 3 Intel Core i3-1115G4,39 800 ₽,15.6,256 Гб,4,4,"Ноутбук, зарядное устройство, сетевой адаптер",,1.5 кг,Windows Pro
"Ноутбук Acer Aspire 3 17.3""i5 1135G7/8Gb/512Gb(NX.AD0ER.00A)",76 970 ₽,17.3,512,8 ГБ,4,"Ноутбук, блок питания, документация",,2.6 кг,Без системы
Ноутбук ASUS X515JA-BQ2979,45 051 ₽,"15.6""",256 Гб,8 ГБ,2,"ноутбук, адаптер питания, документация",37 Вт·ч,1.8 кг,Без ОС
ASUS TUF Gaming F15 FX506HE 90NR0704,135 999 ₽,15.6,512,16,6,,,2.3 кг,DOS
"Ноутбук IRU Калибр 15ЕС5,цвет черный",49 790 ₽,"15.6""",512 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",7200 мАч,,
"Ноутбук для работы ASUS ExpertBook B1 15.6""",49 990 ₽,15.6,256 Гб,8 ГБ,2,ноутбук; адаптер питания; документация,42 Втч,1.73 кг,Windows 11 Home
"Ноутбук Acer Aspire A315-34-C7L6 [NX.HE3ER.022]/15,6""/DOS",24 042 ₽,"15,6""",1 Тб,4 ГБ,2,,,,noOS
"Ноутбук Pro Fortis M i5 10210U/8Gb/SSD512Gb/15.6""/W11ProML64",39 165 ₽,"15.6""",512 Гб,8 ГБ,2,,4250 мА*ч,1.9 кг,Windows
Ноутбук Ipason Maxbook P1X 512/12 Gb для работы и учебы,42 800 ₽,"15,6 дюйма 1920*1080",512,12 ГБ,4,"сумка для ноутбука, коврик, мышка, зарядное устройство, usb разветвитель",,1.6 кг,Windows 11 rus
"Ноутбук RedmiBook Pro 15"" 2022",99 842 ₽,15,512 гб.,16,4,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",7000,1.8 кг,Windows 11 Pro
"Ноутбук HP 255 G9 15"" FHD TN AMD Ryzen 7 5825U 2ГГц",59 900 ₽,"15,6",Отсутствует,8 ГБ; 8,8,,41 Вт*ч,1.8 кг,Windows
"Ноутбук Lenovo ThinkPad E15 G3 15.6"" FHD Ryzen7/512SSD/DOS",137 170 ₽,15.6,512,16 ГБ,8,"Ноутбук, документация, блок питания",,1.7 кг,Без системы
Ноутбук MSI GF63 Thin 11UD-254XRU,73 840 ₽,"15.6""",256 ГБ,8 ГБ,6,"документация, адаптер питания",51 Вт*ч,1.86 кг,noOS
"Ноутбук IRU 14EC5 i5 1135G7/8Gb/SSD1Tb/14.1""/IPS/FHD/DOS",43 390 ₽,"14.1""",1024 Гб,8,4-ядерный,"Ноутбук-1шт.,документация-1шт.",4500 mAh,,Free DOS
SWIFT 1 SF114-34 золотистый,41 480 ₽,14,256 Гб,4,2,,,,
"Ноутбук MSI Modern14 14"" i5/8Gb/256SSD/ 9S7-14J112 -262",75 260 ₽,14,256,8 ГБ,10,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Pro
Ноутбук VivoBook Pro 15 M6500QH-HN089 (90NB0YJ1-M00460),82 990 ₽,"15.6""",512 Гб,16 ГБ,8,ноутбук; блок питания; инструкция,50 Втч,1.65 кг,отсутствует
Ноутбук ProBook 450 G9 Notebook PC (723N5EA),67 990 ₽,"15,6",512 Гб,8,10,Блок питания; Инструкция,42 Втч,1.74 кг,нет
Ноутбук Notebook для работы учебы,37 000 ₽,"15,6",256 Гб,16,2,ноутбук - 1 шт,5700 мА*ч,2 кг,
MacBook Pro 16/M2 Pro/16/1 (Space Grey),244 841 ₽,"16,2""",1 ТБ,16 ГБ,12,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
"Ноутбук Lenovo IdeaPad 1 14ADA05 82gw008brk 14"" (noOS)",27 985 ₽,"14""",128 Гб,4,2,,,1.4 кг,DOS
"Ноутбук HP Probook 450 i5-1235U/512SSD/15.6""IPS/DOS(6S7G4EA)",72 500 ₽,15.6,512,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
Ноутбук Katana GF66 12UВ-227 (9S7-158422-227),115 990 ₽,"15.6""",1024 Гб,16 ГБ,14,ноутбук; блок питания; инструкция,53.5 Втч,2.25 кг,отсутствует
Ноутбук 15-dw1495nia SSD 250 Gb,27 129 ₽,"15.6""",240 Гб,4 ГБ,4,блок питания; кабель питания; документация,,1.76 кг,noOS
"Ноутбук Pro Sprint M i5 1135G7/8Gb/SSD512Gb/15.6""/W11Pro",43 990 ₽,"15.6""",512 Гб,8 ГБ,4,"ноутбук - 1шт, сетевой адаптер - 1шт, краткое руководство - 1шт",4250 мА*ч,1.82 кг,Windows
Ноутбук Corebook Xpro 15.6'' IPS 144Hz Intle i3-1215U,43 690 ₽,"15,6""",512 Гб,16 gb; 8 GB,6,Инструкция - 1 шт; Гарантийный талон - 1 шт; Зарядное устройство - 1 шт; Ноутбук - 1 шт,4000 mAh,1.78 кг,Windows
Ноутбук Lenovo V17 IIL,45 639 ₽,17.3,256,8,4,"Ноутбук, документация, адаптер питания с кабелем",42 Вт*час,2.2 кг,не установлена
"Ноутбук Acer Aspire 3 15.6""i5/8Gb/512SSD/Linux(NX.HS5ER.006)",63 750 ₽,15.6,512,8 ГБ,4,"Ноутбук, зарядное устройство, документация",,1.9 кг,Linux
Ноутбук Lenovo ThinkBook 14 G3 ACL,47 817 ₽,14,256 Гб,8 ГБ,4,"Ноутбук, документация, блок питания с кабелем",45 Вт*час,1.4 кг,нет
"Ноутбук TECNO Megabook T1/ i3 12/256GB/15.6""/ Win11/",35 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Windows 11 Home
Ноутбук Lenovo IdeaPad 3 15ITL6 82H8024NRK,37 307 ₽,"15.6""",256 гб,4 гб,2,Ноутбук; зарядное устройство; документация,,2.1 кг,DOS
Ноутбук Asus TUF Gaming F15,153 388 ₽,15.6,512Gb,16,6,,4240 мАч,2.3 кг,DOS
"Ноутбук HP ProBook 445 G8 Ryzen 7 5800U/16Gb/SSD512Gb/14""/FHD/IPS/Win10Pro/silver",97 105 ₽,14,512 Гб,16,8,Ноутбук - 1 шт,,1.37 кг,Windows 10 Pro
Ноутбук Xbook,23 850 ₽,"14""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция; гарантийный талон,4000 мА*ч,1.3 кг,Windows 11 Pro
Ноутбук Lenovo Gaming 3 i5 12450H/16ГБ/512SSD/RTX3050/165Hz,86 472 ₽,16,512,16; 16 ГБ,8,,,2.6 кг,DOS
Ноутбук Lenovo IdeaPad L3 15IML05 81Y300SYRK,68 727 ₽,"15.6""",128 гб,8 гб,4,Ноутбук; зарядное устройство; документация,,2.2 кг,DOS
"Ноутбук Pro Fortis M i5 10210U/8Gb/SSD256Gb/15.6""/noOS",38 033 ₽,"15.6""",256 Гб,8 ГБ,2,,4250 мА*ч,,noOS
"Ideapad 15 R7 5700U максимальное ускорение 4,3 ГГц",108 794 ₽,15.6,512 Гб,8 ГБ,8,,42Wh,1.6 кг,Windows 11 Pro
Ноутбук Acer Extensa 15 EX215-32-P9XP,61 069 ₽,"15.6""",256 гб,8 гб,4,ноутбуки; зарядное устройство; документация,,1.9 кг,Windows 10 Pro
"Ноутбук Gigabyte G5 GE [GE-51RU263SD]/15.6"" FHD/RTX 3050",65 790 ₽,"15.6""",512 Гб,8,12,,,,noOS
"15.6"" Notebook Intel Celeron N5095 2.0 GHz, 16GB, SSD 256Gb",29 411 ₽,15.6,512 Гб,16 ГБ,4,,,,
"Ноутбук 14"" EVE C414 Celeron N4020/ 4Гб/ eMMC64Гб/ W10HSL",15 094 ₽,"14 """,нет,4 ГБ,2 ядра,Зарядное устройство - 1 шт; документация - 1 шт; Ноутбук - 1 шт,5000 mAh,1.78 кг,Windows 10 Home (x64) SL
"Ноутбук TECNO Megabook T, Intel i3-1005G1/12GB/256GB/15.6",52 752 ₽,15.6,256GB,12 ГБ,2,Ноутбук; Зарядный блок; Инструкция,мАч -6060,1.5 кг,
"Ноутбук Xiaomi RedmiBook II 14"" Intel Core i5 1035G1",75 957 ₽,14,512 гб,8,4,"ноутбук, зарядное устройство",,,Windows 10 Home
"Игровой ноутбук TUF Dash F15 FX517ZC-HN098W 15.6""",133 216 ₽,15.6,1024 Гб,16 ГБ,10,"Ноутбук, блок питания, шнур питания",,2 кг,Windows Home
"Ноутбук Acer Swift 3 SF313-53 Core i5 1135G7/8Gb/SSD512Gb/13.5""/IPS/QHD/Win11/silver",61 373 ₽,13.5,512 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.2 кг,
Ноутбук X515JA-EJ2528 Transparent Silver (90NB0SR2-M001Y0),65 990 ₽,"15.6""",256 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,37 Втч,1.8 кг,отсутствует
Ноутбук HIPER DZEN YB97KHOK,55 451 ₽,"15,6",256 Гб,8 ГБ,2,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Windows
Ноутбук Lenovo Flex x360 FHD IPS Intel Core i3 1215U,53 900 ₽,14,256; 256 Гб,8; 8 ГБ,6,,56 Вт*ч,1.5 кг,Windows 11 Home
"Ноутбук HONOR MagicBook 14, Intel i5-1135G7 8/512Гб",88 849 ₽,14,512 Гб,8,4,"Ноутбук, зарядное устройство, инструкция",,1.3 кг,Windows
"Ноутбук HASEE T8-DA9NT, 16"", Intel i9 12900H, 16ГБ, 1ТБ",118 990 ₽,"16""",1ТБ,16 ГБ,14-ядерный,,3410 mAh,2.15 кг,Free DOS
Ноутбук Acer Extensa 15 Core i5 1035G1/8Gb/SSD256Gb/15.6''/TN/FHD/noOS/black,44 943 ₽,15.6,256 Гб,8 ГБ,4,Ноутбук - 1 шт,,1.9 кг,NoOC
"Ноутбук Book Pro 14"" 2022 серебристый",149 234 ₽,14,512,16,4,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",,1.46 кг,Windows 11 Home
Ноутбук Corebook Xpro 15.6'' IPS 144Hz Intle i5-1235U,52 690 ₽,"15,6""",512 Гб,16 gb; 8 GB,10,Ноутбук - 1 шт; Инструкция - 1 шт; Гарантийный талон - 1 шт; Зарядное устройство - 1 шт,4000 mAh,1.78 кг,Windows
"Ноутбук ASUS VivoBook Pro 14 14"" Ryzen5/8Gb/512SSD/W11",97 720 ₽,14,512,8 ГБ,6,"Ноутбук, зарядное устройство, документация",,1.4 кг,Windows Home
Ноутбук Extensa EX215-22-R5NC,38 149 ₽,"15.6""",256 Гб,4 ГБ,2 ядра,"документация, адаптер питания",4810 мА*ч,1.9 кг,Windows 10 Pro
"Ноутбук AZ-1506 15.6""/4x2.0GHz/8Gb/256Gb",23 465 ₽,15.6'',256 Гб,8 ГБ,4 ядра,Ноутбук - 1 шт; Блок питания 1 шт,3000 mAh,1.9 кг,Windows 10 Pro
"Ноутбук Xiaomi Pro RedmiBook, 15.6""",94 462 ₽,"15.6""",512 Гб,16 ГБ,8 ядер 12 потоков,,72 Wh,1.8 кг,
MacBook Pro 16/M1 Max/32/1 (Silver),251 091 ₽,"16,2''",1 ТБ,32 ГБ,10,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук K3500PH-KJ492 15.6 i7-11370H 16ГБ/1ТБ GTX 1650 4ГБ,87 584 ₽,15.6'',1 Тб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Ноутбук HP ProBook 450 G8 15.6"" 16Gb/512Gb SSD/W10Pro",142 640 ₽,15.6,512,16 Гб,4,"Ноутбук, блок питания",,1.74 кг,Windows Pro
Ноутбук Lenovo V15-IIL 82C500JSRU,39 588 ₽,"15.6""",256 гб,8 гб,2,Ноутбук; зарядное устройство; документация,,1.8 кг,DOS
"Ноутбук Asus Zenbook UX325EA-KG758 (i5-1135G7/8Gb/512Gb SSD/13,3""FHD/UMA/NoOS) 90NB0SL1-M00E90",66 868 ₽,"13.3""",512 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,67 Вт*ч,1.11 кг,Без ОС
"Ноутбук MSI Modern 15 B12M-233RU 15""i5/8/256",66 360 ₽,15,256,8 ГБ,10,"Ноутбук, блок питания, документация",,1.7 кг,Windows Pro
"Ноутбук Corebook Xpro 15.6'',i5-10210U,16GB+512GB",47 990 ₽,"15.6 """,512 GB,16 ГБ,4 ядер,,4000 mAh; Li-ion,1.78 кг,Windows 11 Home
"Ноутбук IdeaPad 3 15,6"" FHD IPS/i3-1115G4 8/512ГБ SSD/UMA",54 646 ₽,15.6,512 Гб,8,2,"ноутбук, документация, зарядное устройство",38 Вт-ч,1.65 кг,Без системы
Ноутбук Asus 90NB0W43-M003U0 (Pentium/14/256Гб/8Гб/UMA/W11),33 653 ₽,14,256,8,4,,,1.45 кг,Windows 11 Home
"Ноутбук Acer TravelMate P2 Core i3 1115G4/8Gb/SSD256Gb/15.6""/IPS/FHD/noOS/black",40 380 ₽,15.6,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.6 кг,noOS
Ноутбук Acer TravelMate P2 TMP214-52-381J (NX.VMKER.006),37 794 ₽,14,256 Gb,8,2,Ноутбук - 1 шт,,1.6 кг,не установлена
"Ноутбук X515JA-EJ2218 15,6"" Intel Core i7-1065G7",68 660 ₽,15.6,512 Гб,8 ГБ,4,"Ноутбук, кабель, документация",37 Вт/ч,1.8 кг,Без системы
Ноутбук Acer Swift X SFX14-41G-R5US,80 159 ₽,"14""",512 гб,8 гб,6,Ноутбук; блок питания; документация,59 Wh,1.3 кг,Windows 10 Домашняя
Ноутбук Asus ROG Strix G15 G513IH-HN004 [90NR07P2-M00160],67 559 ₽,"15""",512 Гб,8,8,,,,noOS
Ноутбук Lenovo Thinkbook 14 G2 ITL (20VD00M7RU),66 333 ₽,14,256 Gb,8,4,Ноутбук - 1 шт,,1.4 кг,Windows 10 Pro
"Ноутбук 15.6"" Pro Fortis M Ryzen 3 5300U/8/SSD512/W11Pro",39 165 ₽,"15.6""",512 Гб,8 ГБ,4,,4250 мА*ч,1.87 кг,Windows
Asus ROG Strix G513 (90NR0502-M00050),119 000 ₽,15.6,512 Гб,16 ГБ,8,"ноутбук, документация, адаптер питания",90 Вт*ч,2.1 кг,Без операционной системы
"Ноутбук EVE 14 C414, 14.1"", IPS, Celeron N4020 1.1ГГц, 4ГБ,",15 094 ₽,"14.1""",нет,4 ГБ,2 ядра,Инструкция - 1 шт; Зарядное устройство - 1 шт; Ноутбук 1 шт,5000 mAh,1.25 кг,Windows 10 Home (x64) SL
"Ноутбук Lenovo ThinkBook 16p 16""Ryzen7/1Tb SSD/RTX3060/DOS",219 330 ₽,16,1024,16 ГБ,8,"Ноутбук, документация, блок питания",,1.99 кг,Без системы
Ноутбук Lenovo V15 G2 ALC,38 907 ₽,15.6,256,8,6,"Ноутбук, документация, адаптер питания с кабелем",38 Вт*час,1.7 кг,не установлена
"Asus ROG Strix G15 G513IE- HN004 15,6/DDR4 16/RTX3050",140 000 ₽,15.6,512 Гб,16 ГБ,8,,90 Вт*ч,,Без операционной системы
Ноутбук Asus ExpertBook P1 P1512CEA-BQ0048,58 924 ₽,15.6,512 Гб,8 ГБ,4,ноутбук; адаптер питания; документация; проводная мышь,37 Втч,1.8 кг,нет
Ноутбук HP 15s-eq2124ur,55 297 ₽,15.6,512 Гб,16 ГБ,6,ноутбук,41,1.7 кг,не установлена
Ноутбук Lenovo V14-ADA (82C6S03900),50 600 ₽,"14""",128 Гб,8 ГБ,2 ядра,,35 Вт*ч,,Windows 10 Pro
"Ноутбук 15.6"", Intel Core i3, 256Гб SSD, Full HD, 2x1.2ГГц",33 990 ₽,15.6,256 Гб,12 ГБ,2,,,,Linux
"Ноутбук Hasee S8 -DA5NS 15.6"" 144HZ 16G/512G RTX3060 6G",88 310 ₽,"15.6""",512 Гб,16 ГБ; DDR4,,Ноутбук - 1 шт; Блок питания и кабель - 1 шт; инструкция; гарантийный талон,,2.36 кг,
"Ноутбук ACER TravelMate X3 TMX314-51-M-5525 (i5-8265U/8Gb/256Gb SSD/14""FHD/UMA/Win10) NX.VJVER.007",67 194 ₽,"14""",256 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,60 Вт*ч,1.6 кг,Windows 10 Pro
"Ноутбук 15"" Acer Extensa EX215-52-38YG Core i3 8ГБ SSD 256ГБ",37 920 ₽,15.6,256 Гб,8,2,"ноутбук, документация, адаптер питания",4810 мА*ч,1.9 кг,Windows Home
Ноутбук Lenovo IdeaPad L3 15IML05 81Y300T2RK,76 729 ₽,"15.6""",256 гб,12 гб,4,Ноутбук; зарядное устройство; документация,,2.2 кг,DOS
Ноутбук Lenovo IP3 Gaming 15IHU6,69 183 ₽,15.6,512,8,4,"Ноутбук, документация, адаптер питания с кабелем, диск с ПО (опция)",45 Вт*час,2.25 кг,Windows 11 Home
Ноутбук HIPER DZEN U0WHH89N,95 653 ₽,"15,6",512 Гб,16 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Windows
Ноутбук HP Pavilion Plus 14 QHD Core i7 Iris Xe Graphics,89 900 ₽,"14""",512 Гб,16,14,,90 Вт*ч,1.4 кг,Windows 11
"Ноутбук игровой 15.6"" IPS 4-Ядра 12GB SSD 512GB",38 760 ₽,15.6,512 Гб,8 ГБ; 12 ГБ,4,ноутбук; зарядное устройство,4000 мА*ч,1.6 кг,Windows 10
Ноутбук VivoBook 15X 16ГБ 512ГБ M1503QA-L1223,66 808 ₽,15.6,512 Гб,16,8,"Ноутбук, зарядное устройство, документация",37 Вт-ч,1.7 кг,нет
"Ноутбук Lenovo Thinkbook 15-ITL Core i3 1115G4/8Gb/SSD256Gb/15.6""/IPS/FHD/Win10Pro/grey",50 203 ₽,15.6,256 Гб,8,2,Ноутбук - 1 шт,,1.7 кг,Windows 10 Pro
Ноутбук HP 255 G8 (3V5H3EA),105 091 ₽,"15.6""; 15.6 ""; 15.6",256 Гб; 256 Gb; 256,8; 8 GB; 8 ГБ,6; 6 ядер; 6 шт,Ноутбук - 1 шт,,1.74 кг,Windows; Windows 10
Ноутбук Lenovo IdeaPad IP3 15ITL6 (82H802NKRK),54 164 ₽,"15.6""",512 Гб; 512 GB,8; 8 ГБ,2,зарядное устройство,38 Вт-ч,,DOS
Ноутбук CHUWI Corebook Xpro 15.6'' IPS Intle i5-10210U,45 990 ₽,"15,6""",1 TB; 512 GB,16 gb; 8 GB,4 ядер / 8 потоков,Инструкция - 1 шт; Гарантийный талон - 1 шт; Зарядное устройство - 1 шт; Ноутбук - 1 шт,4000 mAh; 4000 мАч,1.78 кг,Windows
"Ноутбук ASUS ExpertBook B1 15.6"" i5 8гб SSD 256",61 686 ₽,15.6,256,8 ГБ,4,ноутбук; адаптер питания; документация,42 Втч,1.73 кг,Без ОС
"Игровой ноутбук TUF Dash F15 FX517ZE-HN066W 15.6""",135 638 ₽,17.3,1024 Гб,16 ГБ,14,"Ноутбук, блок питания, шнур питания",90 Вт/ч,2 кг,Windows Home
Ноутбук K3500PH-KJ305 15.6 i5-11300H 16/512ГБ GTX 1650 4Gb,74 356 ₽,15.6'',512 Гб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Ноутбук AZ-1507 15.6""/4x2.0GHz/8Gb/1Tb",28 405 ₽,"15.6""",1024 Гб,8 ГБ,4,"ноутбук, блок питания",4000mAh,1.9 кг,Windows
"Ноутбук Yoga S940-14IWL (i5-8265U/8Gb/512Gb SSD/14""UHD/UMA/Win10) 81Q7002NRU",103 993 ₽,14'',512 Гб,8 ГБ,4 ядра,зарядное устройство; документация; ноутбук,52 Вт*ч,1.2 кг,Windows 10 Home
Ноутбук HP 15S-FQ5013NIA HD SVA Laptop,57 900 ₽,"15,6",512; 512 Гб,8; 8 ГБ,10,,41 Вт*ч,1.6 кг,Windows
"Ноутбук 14"", UP5401EA-KN003, 8 ГБ, 512 ГБ",99 360 ₽,14',512 Гб,8 ГБ,4,"Ноутбук, зарядное устройство, документация",63 Вт/ч,1.4 кг,Без системы
Ноутбук Acer Aspire 1 A115-32-P7AU NX.A9BER.00D,33 369 ₽,"15.6""",128 гб,4 гб,4,,37 Вт*ч,1.65 кг,Windows 11 Home
Ноутбук 840 G9/8DDR5/512SSD/FHD IPS/Intel Iris Xe/Win11Pro,116 900 ₽,14,512,8,10,"Ноутбук, зарядное устройство, документация",51 Wh,1.7 кг,Windows 11 Pro
MacBook Pro 14/M2 Pro/16/1 (Space Grey),228 241 ₽,"14.2""",1 ТБ,16 ГБ,10,Macbook; документация; зарядное устройство; кабель,,1.6 кг,macOS
Ноутбук Hiper DZEN MTL1569 цвет серебристый,55 990 ₽,,512 гб,16 гб,4-ядерный,"Ноутбук-1шт., инструкция-1шт.,гарантийный талон-1шт.",,,Free DOS
"Ноутбук Acer Aspire A315-56-50Z5 (i5-1035G1/8Gb/256Gb SSD/15.6"" FHD/UMA/NoOs) NX.HS5ER.008",37 627 ₽,"15,6 """,256 Gb,8 GB,4,инструкция,36 Вт*ч,1.9 кг,нет
"Ноутбук Lime C156PP NOS Core i5-8259U/8Gb/SSD256Gb/15.6""/IPS/FHD/NoOS/black",40 704 ₽,15.6,256 Gb,8 GB,,Ноутбук - 1 шт.,6 000 mAh,2.2 кг,
Ноутбук K3500PC-KJ474 15.6 i7-11370H 16/512ГБ RTX 3050 4Gb,90 127 ₽,15.6'',512 Гб,16 ГБ,4 ядра,ноутбук; адаптер питания; документация,50 Вт·ч,1.65 кг,Без операционной системы
"Ноутбук Acer Extensa 15 EX215-52-59Q3 Core i5 1035G1 8Gb SSD51 2Gb Intel UHD Graphics 15.6"" FHD",72 739 ₽,15.6'',512 Гб,8 ГБ,4 ядра (8 потоков),ноутбук; адаптер питания,36 Вт*ч,1.9 кг,Windows 10 Pro
Ноутбук ProBook 450 G8 (59S01EA),59 990 ₽,"15,6",256 Гб,8 Гб,4,Блок питания; Инструкция,41 Втч,1.7 кг,Windows
"Ноутбук Samsung 512SSD/13.3"" Win10 Mystic (NP730QDA-KA3)",91 500 ₽,13.3,512,16 ГБ,4,"Ноутбук, документация, зарядный блок",,1.2 кг,Windows Home
"Ноутбук HP Omen 16-b1017ci 16.1""/16 GB [6M883EA]",150 894 ₽,"16.1""",1 Тб,16,14,,,,noOS
Ноутбук A12UC-200RU,134 990 ₽,"16""",512 Гб,16 ГБ,14,Ноутбук MSI; блок питания; аккумулятор; инструкция,53.5 Втч,2.26 кг,Windows
Ноутбук VivoBook 14 X415EA-EB1354W (90NB0TT1-M00H10),69 990 ₽,"14""",512 Гб,8 ГБ,4,ноутбук; блок питания; инструкция,37 Втч,1.55 кг,Windows 11 Home
"Ноутбук HP AMD Ryzen 7-5700U/16Gb/SSD512Gb/15,6""/IPS/FHD/NoOS/silver",63 897 ₽,"15,6",512 Гб,16,8,Ноутбук - 1 шт,,,не установлена
Matebook D14 53013NYY,52 779 ₽,14,512 Гб,8 ГБ,4,HUAWEI MateBook D 14; адаптер питания HUAWEI USB-C переменного тока; кабель USB-C; Краткое руководство пользователя,,,Windows 11
"Ноутбук X415FA-EB014 14"" Intel Core i3-10110U",38 721 ₽,14,256 Гб,4 ГБ,2,"Ноутбук, зарядное устройство, документация",37 Вт/ч,1.6 кг,Без системы
"Ноутбук TECNO Megabook T1 i3 12/256GB/15.6""/ Win11",35 990 ₽,15.6,256 Гб,12,2,,6060,,Windows
Ноутбук Asus Vivobook S K3502ZA-KJ352W [90NB0WK2-M00RK0],69 520 ₽,"15.6""",512 GB,8,12,,,,Windows 11 Home
Ноутбук Lenovo Legion 5 82JK000QRK,113 651 ₽,"15.6""",512 гб,16 гб,6,Ноутбук; зарядное устройство; документация,,2.4 кг,DOS
Игровой ноутбук ASUS ROG Strix G15 G513RC-HN133,119 287 ₽,15.6 '',512 Гб,16 ГБ,8,"Адаптер питания, Документация, Ноутбук",56 Вт·ч,2.1 кг,Без ОС
"Ноутбук HP Probook 450 i5-1235U/256SSD/15.6""IPS/DOS(6A151EA)",70 900 ₽,15.6,256,8 ГБ,10,"Ноутбук, документация, зарядный блок",,1.74 кг,Без системы
Ноутбук HP Pavilion Aero 13-be1020ci/13.3 (6M868EA),66 885 ₽,"13.3""",1 Тб,16,8,,,,Windows
"Ноутбук Tecno MEGABOOK T1/ i3 12/256GB/15.6""/Win 11",42 990 ₽,15.6,256,12,4,,"3-элементный, 70 Вт·ч",1.48 кг,Windows 11 Home
"Ноутбук Rombica MyBook Eclipse, 15.6"" 16ГБ, 512ГБ SSD, серый",42 620 ₽,"15,6",512 Гб,16 ГБ,4,"Ноутбук - 1 шт.,; Зарядное устройство - 1 шт.,; Инструкция пользователя - 1 шт.,; Гарантийный талон - 1 шт",4825 мАч,1.86 кг,отсутствует
"Ноутбук AZ-1403 14""/2х1.1GHz/6Gb/64+256",16 300 ₽,"14""",256 Гб,6 ГБ,2 ядра,,4500 mAh,1.9 кг,Windows 10 Pro
Ноутбук Lenovo 15ITL6 82HL003BRK,34 549 ₽,"15,6",256 гб,4,2,"Ноутбук, зарядное устройство, документация",,2.2 кг,
"Ноутбук RedmiBook Pro 14"" AMD Ryzen 7",102 194 ₽,"14""",512 Гб,16,4,"зарядное устройство/провод питания, переходник на европейскую розетку, ноутбук",56 Вт·ч,,Windows 11 Home
MacBook Pro 16/M1 Max/32/1 (Space Grey),251 091 ₽,"16,2''",1 ТБ,32 ГБ,10,Macbook; документация; зарядное устройство; кабель,,,macOS
Ноутбук Legion 5 (82JH0012RK),147 990 ₽,"15.6""",512 Гб,16,6,Блок питания; инструкция,80 Втч,2.4 кг,Без системы
Ноутбук Lenovo IdeaPad 3 15IGL05 Pentium N5030 8ГБ SSD 256ГБ,29 490 ₽,"15.6""",256 Гб,8,4,"ноутбук, документация, адаптер питания",35 Вт*ч,1.85 кг,DOS
"Xiaomi Redmibook, Pro 14"" 2022 R7-6800H/16G/512G/AMD/Grey",91 790 ₽,"14""",512 Гб,16 ГБ,8-ядерный,ноутбук-1шт; Адаптер питания-1шт; Кабель Type C-1шт; документация-1шт; переходник-1шт,56 Wh,1.42 кг,Windows 10 trial (для ознакомления)
Ноутбук Lenovo ThinkBook 14 Gen 4 (21DH00GDRU),93 025 ₽,"14""",512 гб,8 гб,10,ноутбук; зарядное устройство; документация,45 Вт-ч,1.4 кг,DOS
"Ноутбук AZ-1507 15.6""/4x2.0GHz/8Gb/120Gb",24 320 ₽,"15.6""",120 GB,8 ГБ,4 ядра,"Ноутбук - 1шт, блок питания - 1 шт",4000 mAh,1.9 кг,Windows 10 Pro
Ноутбук HIPER DZEN 46XJHOSU,69 716 ₽,"15,6",256 Гб,8 ГБ,4,ноутбук; зарядное устройство; документация,5700 мА*ч,1.7 кг,Windows
MacBook Pro 16/M1 MAX/32/1 (Space Gray),223 994 ₽,"16.2""",1 ТБ,32 ГБ,10,Macbook; документация; зарядное устройство; кабель,,2.16 кг,macOS
"Игровой ноутбук ROG STRIX SCAR 17 G733ZW-LL153W 17.3""",250 938 ₽,17.3,1024 Гб,16 ГБ,14,"Ноутбук, блок питания, шнур питания",90 Вт/ч,2.9 кг,Windows Home
